CATEGORY; SUMMARY; NUMBER_OF_VULNERABILITIES; NUMBER_OF_VULNERAILITIES_WITH_CRITICALITY_FOR_HEALTH; AVERAGE_SCORE; PRESENCE; IMPACT 
CWE-434;Unrestricted Upload of File with Dangerous Type. The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment. ;4;2;6,75;,02250;,15190;
CWE-22;Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'). The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.;5;1;6,16;,02810;,17310;
CWE-798;Use of Hard-coded Credentials. The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. Hard-coded credentials typically create a significant hole that allows an attacker to bypass the authentication that has been configured by the software administrator. This hole might be difficult for the system administrator to detect. Even if detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely.;13;11;6,2769;,07300;,45820;
CWE-611;Improper Restriction of XML External Entity Reference. The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.;1;1;5,0;,00560;,02800;
CWE-732;Incorrect Permission Assignment for Critical Resource;1;0;6,5;,00560;,03640;
CWE-754;Improper Check for Unusual or Exceptional Conditions. The software does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the software.;1;0;5,0;,00560;,02800;
CWE-89;"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'). The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs, the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data. This can be used to alter query logic to bypass security checks, or to insert additional statements that modify the back-end database, possibly including execution of system commands. SQL injection has become a common issue with database-driven web sites. The flaw is easily detected, and easily exploited, and as such, any site or software package with even a minimal user base is likely to be subject to an attempted attack of this kind. This flaw depends on the fact that SQL makes no real distinction between the control and data planes.";10;2;6,5;,05620;,36530;
CWE-20;Improper Input Validation. The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program. When software does not validate input properly, an attacker is able to craft the input in a form that is not expected by the rest of the application. This will lead to parts of the system receiving unintended input, which may result in altered control flow, arbitrary control of a resource, or arbitrary code execution.;3;2;6,2667;,01690;,10590;
CWE-613;Insufficient Session Expiration. According to WASC, "Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.";1;1;3,3;,00560;,01850;
CWE-119;Improper Restriction of Operations within the Bounds of a Memory Buffer. The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer. Certain languages allow direct addressing of memory locations and do not automatically ensure that these locations are valid for the memory buffer that is being referenced. This can cause read or write operations to be performed on memory locations that may be associated with other variables, data structures, or internal program data. ;8;3;6,8125;,04490;,30590;
CWE-319;The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.Many communication channels can be "sniffed" by attackers during data transmission. For example, network traffic can often be sniffed by any attacker who has access to a network interface. This significantly lowers the difficulty of exploitation by attackers.;2;2;5,0;,01120;,05600;
CWE-295;Improper Certificate Validation.  The software does not validate, or incorrectly validates, a certificate. When a certificate is invalid or malicious, it might allow an attacker to spoof a trusted entity by using a man-in-the-middle (MITM) attack. The software might connect to a malicious host while believing it is a trusted host, or the software might be deceived into accepting spoofed data that appears to originate from a trusted host.;4;1;4,3;,02250;,09670;
CWE-352;Cross-Site Request Forgery (CSRF). The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request. When a web server is designed to receive a request from a client without any mechanism for verifying that it was intentionally sent, then it might be possible for an attacker to trick a client into making an unintentional request to the web server which will be treated as an authentic request. This can be done via a URL, image load, XMLHttpRequest, etc. and can result in exposure of data or unintended code execution.;2;1;6,8;,01120;,07620;
CWE-276;Incorrect Default Permissions (During installation, installed file permissions are set to allow anyone to modify those files).;1;1;10,0;,00560;,05600;
CWE-255;Weaknesses in this category are related to the management of credentials.;29;29;9,1621;,16290;1,49250;
CWE-310;Weaknesses in this category are related to the use of cryptography.;9;0;5,4;,05060;,27320;
CWE-112;Missing XML Validation. The software accepts XML from an untrusted source but does not validate the XML against the proper schema. ;1;1;2,1;,00560;,01180;
CWE-476;NULL Pointer Dereference;1;1;6,8;,00560;,03810;
CWE-311;Missing Encryption of Sensitive Data;1;1;2,1;,00560;,01180;
CWE-190;Integer Overflow or Wraparound. The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. An integer overflow or wraparound occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may wrap to become a very small or negative number. ;2;1;5,9;,01120;,06610;
CWE-79;Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'). The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.;5;1;4,48;,02810;,12590;
CWE-345;Insufficient Verification of Data Authenticity. The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data.  ;1;1;9,3;,00560;,05210;
CWE-125;Out-of-bounds Read. The software reads data past the end, or before the beginning, of the intended buffer. Typically, this can allow attackers to read sensitive information from other memory locations or cause a crash. A crash can occur when the code reads a variable amount of data and assumes that a sentinel exists to stop the read operation, such as a NUL in a string.;2;2;5,0;,01120;,05600;
CWE-346;Origin Validation Error. The software does not properly verify that the source of data or communication is valid. ;1;1;6,0;,00560;,03360;
CWE-269;Improper Privilege Management;2;1;6,5;,01120;,07280;
CWE-522;Insufficiently Protected Credentials;3;2;5,0;,01690;,08450;
CWE-863;Incorrect Authorization. The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions. ;2;0;3,35;,01120;,03750;
CWE-787;Out-of-bounds Write. The software writes data past the end, or before the beginning, of the intended buffer. ;2;2;7,5;,01120;,08400;
CWE-601;URL Redirection to Untrusted Site ('Open Redirect'). A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks. An http parameter may contain a URL value and could cause the web application to redirect the request to the specified URL. By modifying the URL value to a malicious site, an attacker may successfully launch a phishing scam and steal user credentials. Because the server name in the modified link is identical to the original site, phishing attempts have a more trustworthy appearance.;1;0;5,8;,00560;,03250;
CWE-326;Inadequate Encryption Strength. The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required. A weak encryption scheme can be subjected to brute force attacks that have a reasonable chance of succeeding using current attack methods and resources.;1;0;4,6;,00560;,02580;
CWE-425;Direct Request ('Forced Browsing');2;2;5,0;,01120;,05600;
CWE-306;Missing Authentication for Critical Function. The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.;2;2;7,9;,01120;,08850;
CWE-427;Uncontrolled Search Path Element. The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors. ;1;1;6,9;,00560;,03860;
CWE-94;Improper Control of Generation of Code ('Code Injection');1;0;6,8;,00560;,03810;
CWE-284;"Improper Access Control. The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor. Access control involves the use of several protection mechanisms such as: Authentication, Authorization, Accountability. Attackers can compromise the security of the software by gaining privileges, reading sensitive information, executing commands, evading detection, etc.";1;1;4,0;,00560;,02240;
CWE-384;Session Fixation;1;0;7,5;,00560;,04200;
CWE-120;Buffer Copy without Checking Size of Input ('Classic Buffer Overflow');7;4;6,8143;,03930;,26780;
CWE-264;Authentication Bypass by Capture-replay. A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes). Capture-replay attacks are common and can be difficult to defeat without cryptography. They are a subset of network injection attacks that rely on observing previously-sent valid commands, then changing them slightly if necessary and resending the same commands to the server.;2;1;6,45;,01120;,07220;
CWE-287;Improper Authentication. When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct. ;3;1;5,8;,01690;,09800;
CWE-200;Information Exposure. An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information. Many information exposures are resultant (e.g. PHP script error revealing the full path of the program), but they can also be primary (e.g. timing discrepancies in cryptography). There are many different types of problems that involve information exposures. Their severity can range widely depending on the type of information that is revealed.;8;3;4,6125;,04490;,20710;
CWE-639;Authorization Bypass Through User-Controlled Key. The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data. ;1;0;5,0;,00560;,02800;
NVD-CWE-Other;Non classified Category;7;0;6,1;,03930;,23970;
NVD-CWE-noinfo;Category with no information;23;5;5,087;,12920;,65720;


TOTAL VULNERABILITIES; 178